quality,acidity,alcohol,chlorides,density,sugar,sulfates,type
6,0.25,9.7,0.05,0.9972,13.3,0.48,white
5,0.43,8.7,0.045,0.9974,11.8,0.45,white
6,0.44,8.7,0.044,0.9975,11.8,0.46,white
6,0.39,8.7,0.044,0.9974,11,0.44,white
5,0.27,9,0.049,0.9957,7.5,0.47,white
7,0.24,12.6,0.035,0.99,1.7,0.4,white
7,0.21,12.6,0.034,0.9899,1.8,0.41,white
7,0.17,11.5,0.04,0.9916,1.7,0.44,white
6,0.26,9.2,0.044,0.9969,12.4,0.42,white
6,0.34,8.8,0.046,0.9979,15.9,0.5,white
7,0.265,11.4,0.034,0.9913,1.2,0.36,white
4,0.36,10.1,0.038,0.9956,10.5,0.3,white
6,0.34,8.8,0.046,0.9979,15.9,0.5,white
5,0.25,9.1,0.06,0.9975,13.5,0.44,white
5,0.12,9.4,0.054,0.9962,9.6,0.41,white
5,0.21,9.4,0.05,0.997,12.1,0.39,white
5,0.305,9,0.059,1,18.9,0.46,white
5,0.25,9.1,0.06,0.9975,13.5,0.44,white
6,0.13,9.2,0.051,0.9974,14.4,0.35,white
5,0.12,9.4,0.054,0.9962,9.6,0.41,white
6,0.23,9.1,0.04,0.999,16.5,0.59,white
6,0.23,9.1,0.04,0.999,16.5,0.59,white
5,0.33,10.3,0.051,0.9927,1.3,0.6,white
6,0.17,8.8,0.082,0.9959,8.5,0.39,white
5,0.27,8.9,0.052,1,18.75,0.52,white
5,0.31,9.2,0.056,0.9982,13.3,0.47,white
5,0.41,9.1,0.049,0.9968,9.2,0.51,white
5,0.41,9.1,0.049,0.9968,9.2,0.51,white
4,0.485,9.7,0.065,0.994,1.5,0.4,white
6,0.31,11.3,0.041,0.9914,3.3,0.44,white
6,0.14,11.8,0.035,0.9911,1.7,0.42,white
5,0.31,9.2,0.056,0.9982,13.3,0.47,white
5,0.32,9.2,0.06,0.9982,13.3,0.5,white
5,0.36,10.2,0.046,0.9934,5.7,0.51,white
5,0.24,8.8,0.054,0.9984,12.2,0.54,white
5,0.16,9.7,0.059,0.9952,6.85,0.34,white
6,0.19,9.1,0.058,0.9952,5,0.36,white
6,0.13,9.8,0.092,0.9928,1.6,0.36,white
6,0.19,11,0.026,0.9912,1.1,0.48,white
5,0.39,10.5,0.033,0.994,7,0.42,white
7,0.24,9.7,0.038,0.9958,7.6,0.54,white
7,0.3,10.9,0.044,0.9924,2.8,0.57,white
6,0.3,10.9,0.046,0.9924,2.7,0.57,white
5,0.26,10.6,0.02,0.994,10.4,0.37,white
7,0.24,9.7,0.038,0.9958,7.6,0.54,white
5,0.425,9,0.038,0.9979,13.1,0.57,white
5,0.24,9.2,0.035,0.9982,15.8,0.51,white
5,0.27,8.9,0.034,0.9961,8.1,0.52,white
5,0.27,9.6,0.036,0.9979,15.7,0.56,white
6,0.23,10.7,0.027,0.992,1.2,0.38,white
5,0.37,8.7,0.045,0.9975,10.5,0.44,white
7,0.19,10.8,0.035,0.9917,1.9,0.54,white
6,0.28,11.8,0.029,0.9923,1.9,0.52,white
5,0.31,10.2,0.045,0.9927,2.2,0.43,white
5,0.37,8.7,0.045,0.9975,10.5,0.44,white
6,0.21,10.8,0.039,0.992,1.2,0.54,white
6,0.21,9.7,0.036,0.9947,4.3,0.53,white
6,0.2,11.2,0.037,0.9921,2,0.54,white
6,0.255,10.9,0.04,0.9905,1.1,0.39,white
6,0.16,10.1,0.044,0.9918,1.4,0.37,white
4,0.595,9,0.058,0.9951,5.2,0.36,white
7,0.34,12,0.034,0.9917,4.6,0.58,white
6,0.25,9.4,0.054,0.994,4.1,0.38,white
7,0.22,11.5,0.043,0.9934,8,0.32,white
6,0.18,9.9,0.055,0.9968,10.2,0.43,white
6,0.25,9.4,0.054,0.994,4.1,0.38,white
5,0.18,10.4,0.048,0.9919,1.2,0.45,white
6,0.23,9.7,0.049,0.9966,7.5,0.84,white
6,0.24,8.9,0.066,0.9979,14,0.42,white
6,0.24,8.9,0.066,0.9979,14,0.42,white
7,0.32,12.4,0.036,0.9898,1.5,0.42,white
8,0.44,12.1,0.036,0.9894,1.4,0.33,white
8,0.44,12.1,0.036,0.9894,1.4,0.33,white
7,0.32,12.4,0.036,0.9898,1.5,0.42,white
5,0.22,9.1,0.055,0.998,14.5,0.4,white
5,0.36,10.6,0.049,0.9932,4.8,0.39,white
6,0.24,8.9,0.066,0.9979,14,0.42,white
5,0.24,9.5,0.05,0.997,13.1,0.5,white
5,0.23,9.8,0.051,0.9972,13,0.49,white
6,0.27,9.6,0.048,0.9974,8.7,0.59,white
7,0.46,12.6,0.034,0.9896,2.4,0.44,white
5,0.29,9.3,0.055,0.9968,8.95,0.54,white
5,0.42,10,0.034,0.9958,9.85,0.29,white
6,0.3,12.7,0.066,0.9906,1.5,0.54,white
6,0.19,11,0.045,0.9917,1.5,0.39,white
4,0.48,11.4,0.037,0.9902,0.8,0.39,white
7,0.22,11.5,0.038,0.9918,4.55,0.33,white
5,0.27,10.2,0.051,0.999,17.7,0.64,white
6,0.23,11.4,0.04,0.9927,7.5,0.27,white
4,0.32,12.6,0.044,0.991,5.1,0.41,white
5,0.23,9.4,0.054,0.9972,12.9,0.39,white
4,0.67,8.7,0.06,0.9931,1.2,0.35,white
6,0.25,9.2,0.049,0.995,5.5,0.68,white
6,0.33,9.3,0.048,0.9951,5.5,0.66,white
5,0.34,9.2,0.053,0.9936,1.2,0.43,white
5,0.28,8.7,0.048,1.001,22,0.5,white
6,0.27,9.6,0.05,0.9979,14,0.58,white
5,0.26,9.3,0.043,0.997,11.9,0.63,white
5,0.29,9.3,0.043,0.9972,11.9,0.63,white
6,0.24,9.9,0.04,0.9954,9.4,0.61,white
5,0.3,11,0.038,0.9924,4.2,0.5,white
8,0.53,12.7,0.034,0.9906,3.8,0.57,white
4,0.28,8.9,0.047,0.9962,8.5,0.54,white
6,0.28,8.9,0.052,0.9962,8.5,0.55,white
5,0.28,8.7,0.048,1.001,22,0.5,white
6,0.28,11.4,0.045,0.9928,8,0.37,white
5,0.15,9.6,0.055,0.9942,5.1,0.42,white
5,0.29,9.1,0.2,0.9942,3.6,0.41,white
6,0.3,9.1,0.197,0.9942,3.5,0.39,white
5,0.29,9.1,0.197,0.9942,3.6,0.38,white
5,0.26,8.9,0.052,0.9961,7.8,0.47,white
5,0.32,8.8,0.05,0.998,13.1,0.49,white
5,0.26,8.9,0.052,0.9961,7.8,0.47,white
5,0.27,9.3,0.049,0.9984,16.1,0.5,white
5,0.32,8.8,0.05,0.998,13.1,0.49,white
5,0.54,9.6,0.05,0.9973,13.2,0.5,white
6,0.26,12,0.034,0.9949,13.9,0.53,white
4,0.28,10.2,0.053,0.9924,2.3,0.5,white
5,0.21,8.8,0.042,0.9972,11.6,0.43,white
5,0.16,9.2,0.045,0.9958,8.3,0.34,white
4,0.44,9.9,0.049,0.9968,6.2,0.51,white
5,0.57,10.2,0.04,0.9938,2.2,0.74,white
6,0.4,9.5,0.048,0.993,0.9,0.77,white
5,0.245,10.5,0.032,0.994,9.7,0.34,white
7,0.18,11.2,0.038,0.9918,1.4,0.59,white
5,0.16,9.2,0.045,0.9958,8.3,0.34,white
6,0.13,9.7,0.051,0.9944,5.3,0.37,white
7,0.25,11.1,0.03,0.9912,1.4,0.44,white
5,0.26,9.4,0.044,0.9961,9.2,0.38,white
5,0.27,11,0.036,0.9939,7,0.33,white
5,0.26,9.4,0.044,0.9961,9.2,0.38,white
5,0.28,9.4,0.044,0.9989,17.5,0.44,white
5,0.23,11,0.036,0.9938,7,0.32,white
5,0.27,11,0.036,0.9939,7,0.33,white
6,0.685,9.1,0.07,0.9971,9.5,0.55,white
7,0.25,11.1,0.03,0.9912,1.4,0.44,white
6,0.19,9.1,0.043,0.9936,0.8,0.39,white
6,0.495,10.4,0.046,0.9929,1.8,0.54,white
5,0.24,8.7,0.046,0.9998,17.8,0.39,white
6,0.17,9.7,0.048,0.9938,2.4,0.5,white
6,0.25,9.1,0.041,0.9969,10.3,0.52,white
6,0.17,9.7,0.048,0.9938,2.4,0.5,white
5,0.24,8.7,0.046,0.9998,17.8,0.39,white
4,0.64,8.9,0.062,0.9972,9.7,0.46,white
6,0.28,9.6,0.041,0.9976,7.8,0.51,white
6,0.27,9.5,0.039,0.9976,7.8,0.51,white
6,0.23,9,0.058,0.9979,14.3,0.44,white
6,0.23,9,0.058,0.9979,14.3,0.44,white
6,0.23,9,0.058,0.9979,14.3,0.44,white
6,0.23,9,0.058,0.9979,14.3,0.44,white
6,0.52,9.6,0.044,0.9972,13.2,0.5,white
7,0.26,11.1,0.037,0.9918,1.4,0.41,white
6,0.25,9.6,0.039,0.9982,15.55,0.64,white
5,0.32,8.7,0.05,0.9985,13.7,0.46,white
5,0.31,10.4,0.031,0.9944,7.8,0.5,white
7,0.21,11.4,0.026,0.9903,2.4,0.38,white
6,0.24,9.7,0.047,0.9934,2.7,0.58,white
5,0.4,8.7,0.043,0.9975,11.2,0.46,white
6,0.18,11.3,0.038,0.9923,2,0.79,white
7,0.21,12.6,0.03,0.99,2.1,0.61,white
7,0.2,10.9,0.031,0.9905,1.4,0.36,white
7,0.19,10.9,0.03,0.9905,1.4,0.37,white
5,0.41,10,0.037,0.996,10.4,0.45,white
4,0.21,10,0.053,0.9964,4.6,0.7,white
3,0.26,9.8,0.074,0.998,16.2,0.5,white
5,0.4,8.7,0.043,0.9975,11.2,0.46,white
3,0.24,11.7,0.029,0.9913,3.5,0.43,white
6,0.24,9.3,0.054,0.9932,1.5,0.52,white
8,0.26,9.6,0.04,0.9935,1.1,0.58,white
7,0.35,11,0.035,0.9927,5.7,0.41,white
7,0.35,11,0.035,0.9927,5.7,0.41,white
6,0.23,11.8,0.032,0.9912,1.8,0.5,white
4,0.36,11.4,0.037,0.9904,0.9,0.34,white
6,0.115,10.2,0.048,0.9939,5.4,0.42,white
5,0.29,8.9,0.043,0.9996,19.45,0.47,white
5,0.28,10.2,0.036,0.9944,8.2,0.33,white
6,0.29,9.6,0.045,0.9977,13.6,0.59,white
6,0.24,10.6,0.038,0.9912,1.2,0.48,white
5,0.29,8.9,0.043,0.9996,19.45,0.47,white
6,0.32,9.2,0.053,0.9965,8.3,0.51,white
5,0.58,9.7,0.043,0.9944,6.9,0.57,white
6,0.585,9.7,0.044,0.9945,7.1,0.57,white
6,0.59,9.7,0.045,0.9944,7,0.57,white
6,0.32,9.2,0.053,0.9965,8.3,0.51,white
5,0.6,9.7,0.044,0.9944,7,0.58,white
5,0.25,9.3,0.051,0.9972,13.1,0.38,white
5,0.58,9,0.057,0.9949,5.1,0.38,white
5,0.29,9.5,0.046,0.9966,10.7,0.61,white
6,0.19,9.8,0.046,0.9954,8.9,0.57,white
6,0.2,9.8,0.044,0.9954,9.1,0.58,white
5,0.26,10.6,0.042,0.9915,1.1,0.5,white
4,0.32,10.6,0.044,0.9919,1.2,0.47,white
7,0.3,12.4,0.036,0.9916,4.7,0.68,white
8,0.24,12.6,0.034,0.99,2.8,0.38,white
8,0.31,12.3,0.039,0.9909,5,0.6,white
4,0.44,10.5,0.047,0.9938,5.1,0.65,white
5,0.34,9.3,0.054,0.9982,15.6,0.49,white
5,0.35,8.8,0.055,0.9988,15.4,0.49,white
5,0.32,8.8,0.056,0.9961,7.2,0.47,white
6,0.28,9.7,0.053,0.9978,15.7,0.51,white
7,0.23,9,0.058,0.9979,14.2,0.48,white
7,0.23,9,0.058,0.9979,14.2,0.48,white
7,0.23,9,0.058,0.9979,14.2,0.48,white
7,0.23,9,0.058,0.9979,14.2,0.48,white
6,0.15,10.5,0.041,0.9945,5.8,0.46,white
5,0.28,9.1,0.066,1,19.8,0.44,white
7,0.28,9.8,0.041,0.9957,7.3,0.64,white
3,0.59,8.5,0.066,0.9968,1.6,0.38,white
6,0.33,9.4,0.046,0.9934,1.2,0.54,white
5,0.39,9.4,0.045,0.9976,10.6,0.57,white
7,0.19,11.2,0.041,0.9932,3.8,0.6,white
6,0.17,10,0.046,0.997,11.3,0.45,white
6,0.17,10.3,0.043,0.9923,2.1,0.45,white
6,0.41,10.8,0.063,0.9914,1.6,0.67,white
6,0.2,10.5,0.05,0.992,0.9,0.38,white
6,0.41,10.8,0.063,0.9914,1.6,0.67,white
6,0.29,11.1,0.055,0.9914,1.3,0.43,white
6,0.41,9.9,0.057,0.9949,6.8,0.41,white
6,0.41,9.9,0.057,0.9949,6.8,0.41,white
5,0.43,9.9,0.058,0.995,6.7,0.41,white
6,0.4,9.9,0.058,0.995,6.7,0.41,white
7,0.33,10.4,0.036,0.9927,4.9,0.42,white
6,0.31,10.4,0.037,0.9928,4.8,0.41,white
7,0.36,11.5,0.035,0.9917,2.1,0.71,white
8,0.55,12.5,0.032,0.9918,8.3,0.51,white
6,0.25,10,0.042,0.9954,3.7,0.45,white
6,0.36,10,0.038,0.9941,6.7,0.63,white
5,0.34,10,0.04,0.9941,6.6,0.62,white
6,0.28,9.1,0.132,0.9934,1.1,0.44,white
6,0.25,10.6,0.031,0.9927,4.7,0.38,white
5,0.24,10.5,0.031,0.9938,7.7,0.37,white
7,0.3,11.5,0.03,0.9933,7.85,0.43,white
6,0.125,10.1,0.04,0.9934,3.3,0.59,white
7,0.1,10.3,0.041,0.9927,1.1,0.61,white
5,0.24,10.5,0.031,0.9938,7.7,0.37,white
6,0.25,10.6,0.031,0.9927,4.7,0.38,white
6,0.28,10.4,0.031,0.9946,9.3,0.36,white
5,0.41,11.4,0.046,0.993,2,0.55,white
5,0.27,10.5,0.057,0.9946,5.8,0.59,white
6,0.26,10,0.04,0.9976,15.15,0.6,white
6,0.34,10,0.039,0.9944,6.3,0.65,white
6,0.28,9.6,0.042,0.9978,15.4,0.5,white
5,0.21,10.4,0.036,0.992,1.3,0.51,white
8,0.32,12.5,0.03,0.9912,4.8,0.6,white
5,0.24,10.6,0.032,0.9927,4.6,0.39,white
6,0.23,11.8,0.033,0.9906,1.8,0.4,white
5,0.28,9.8,0.038,0.9954,9.9,0.44,white
5,0.26,10.8,0.031,0.9923,5.7,0.38,white
6,0.23,11.8,0.033,0.9906,1.8,0.4,white
6,0.23,11.2,0.036,0.991,1.5,0.42,white
6,0.27,9.3,0.045,0.9972,12.3,0.42,white
5,0.26,10.4,0.047,0.9945,1.3,0.53,white
7,0.18,10.2,0.049,0.9934,1.5,0.85,white
7,0.2,9,0.045,0.9964,7.8,0.55,white
6,0.24,10,0.047,0.9948,1.5,0.54,white
6,0.26,9.1,0.044,0.9962,9.7,0.47,white
5,0.31,10,0.053,0.9931,3,0.76,white
6,0.29,10,0.052,0.993,3,0.75,white
6,0.145,9.6,0.05,0.9942,4.6,0.4,white
7,0.34,11.2,0.031,0.9906,1.3,0.51,white
6,0.19,8.8,0.056,0.9995,15.6,0.44,white
6,0.18,10,0.052,0.998,13.6,0.5,white
5,0.17,10,0.054,0.997,11.2,0.47,white
7,0.12,11.4,0.044,0.9914,2.1,0.74,white
7,0.33,11.9,0.038,0.992,6.85,0.3,white
6,0.335,9.6,0.071,0.9924,2.5,0.51,white
7,0.33,11.9,0.038,0.992,6.85,0.3,white
6,0.4,9.6,0.047,0.9937,4.4,0.57,white
6,0.22,9,0.063,0.9978,14.3,0.38,white
6,0.22,9,0.063,0.9978,14.3,0.38,white
6,0.36,9.5,0.05,0.9927,1.1,0.78,white
6,0.2,10.4,0.05,0.994,1.4,0.42,white
6,0.24,10.6,0.04,0.9935,4.7,0.59,white
6,0.24,10.2,0.047,0.9968,14.9,0.5,white
5,0.365,8.9,0.055,0.9941,1.2,0.43,white
6,0.15,9.7,0.05,0.9942,5.3,0.39,white
6,0.22,9,0.063,0.9978,14.3,0.38,white
7,0.16,11.4,0.037,0.9923,2.3,0.42,white
7,0.26,12.3,0.028,0.9912,3.5,0.71,white
6,0.18,10.8,0.089,0.9923,1.5,0.62,white
6,0.33,9.4,0.053,0.9927,1,0.45,white
6,0.29,10.6,0.049,0.9931,2.3,0.64,white
5,0.39,11.6,0.044,0.9941,12.5,0.29,white
6,0.33,9.4,0.053,0.9927,1,0.45,white
6,0.29,10.6,0.049,0.9931,2.3,0.64,white
5,0.905,10,0.048,0.9934,0.8,0.56,white
6,0.27,9.2,0.048,0.9936,2.4,0.51,white
7,0.33,12.5,0.027,0.9893,1.6,0.38,white
7,0.33,12.5,0.027,0.9893,1.6,0.38,white
7,0.31,10.4,0.037,0.9919,1.5,0.51,white
7,0.2,10,0.045,0.9924,1.4,0.46,white
6,0.32,10,0.049,0.9927,2.6,0.64,white
7,0.31,10.4,0.037,0.9919,1.5,0.51,white
7,0.2,10,0.045,0.9924,1.4,0.46,white
6,0.28,9,0.046,0.9975,12.5,0.52,white
6,0.35,9.2,0.051,0.9969,9.6,0.53,white
6,0.27,9.2,0.048,0.9936,2.4,0.51,white
7,0.36,11.3,0.027,0.991,3.2,0.39,white
7,0.33,12.5,0.027,0.9893,1.6,0.38,white
7,0.17,10.8,0.026,0.9906,1.5,0.39,white
5,0.39,10.1,0.04,0.9941,5.9,0.66,white
6,0.21,9.7,0.047,0.995,5.4,0.46,white
7,0.3,9.3,0.032,0.9983,14.9,0.61,white
7,0.3,9.3,0.032,0.9983,14.9,0.61,white
5,0.36,10.6,0.031,0.9916,1.1,0.46,white
6,0.55,10.2,0.031,0.9957,9.8,0.47,white
6,0.24,12.2,0.021,0.99,2,0.56,white
5,0.37,8.8,0.044,0.9976,11.8,0.44,white
5,0.27,10,0.04,0.992,1.3,0.41,white
5,0.28,11.4,0.031,0.9917,1.8,0.39,white
6,0.2,11.4,0.037,0.9917,1.5,0.5,white
5,0.26,9.4,0.048,0.9993,18.2,0.44,white
6,0.19,11.7,0.032,0.9908,2.9,0.41,white
6,0.2,11.4,0.037,0.9917,1.5,0.5,white
5,0.37,8.8,0.044,0.9976,11.8,0.44,white
5,0.35,9.2,0.069,0.9934,1.4,0.52,white
5,0.27,8.7,0.046,1,18.2,0.56,white
6,0.22,12.6,0.035,0.9918,6.3,0.66,white
5,0.27,10,0.04,0.992,1.3,0.41,white
7,0.28,12.8,0.031,0.9896,4,0.39,white
5,0.49,9.4,0.049,0.9932,1.2,0.51,white
6,0.14,10.3,0.044,0.992,1.2,0.53,white
5,0.28,11.4,0.031,0.9917,1.8,0.39,white
6,0.25,9,0.038,0.9999,18.95,0.47,white
6,0.28,9.6,0.04,0.998,12.7,0.79,white
5,0.19,10.5,0.036,0.9918,1.2,0.5,white
5,0.19,10.5,0.036,0.9918,1.2,0.5,white
6,0.25,9,0.038,0.9999,18.95,0.47,white
6,0.28,9.6,0.04,0.998,12.7,0.79,white
6,0.21,9.8,0.041,0.9927,1.2,0.33,white
5,0.26,9,0.047,0.9959,7.7,0.47,white
6,0.21,9.8,0.041,0.9927,1.2,0.33,white
6,0.31,10.5,0.05,0.9929,1.6,0.56,white
7,0.22,12.7,0.03,0.9898,2.7,0.37,white
6,0.21,10.4,0.045,0.9954,8.7,0.54,white
6,0.21,10.4,0.045,0.9954,8.6,0.54,white
6,0.21,10.4,0.045,0.9954,8.6,0.54,white
7,0.23,10.5,0.047,0.9954,8.3,0.52,white
6,0.21,10.4,0.045,0.9954,8.7,0.54,white
6,0.21,10.4,0.045,0.9954,8.6,0.54,white
5,0.29,9.4,0.053,0.9974,13.3,0.45,white
5,0.21,9.1,0.051,0.9936,1.2,0.46,white
5,0.31,9.3,0.056,0.9978,13.6,0.49,white
5,0.29,9.4,0.053,0.9974,13.3,0.45,white
5,0.34,9.8,0.048,0.9927,1.1,0.38,white
7,0.155,9.9,0.045,0.9934,2.3,0.61,white
4,0.55,9.2,0.108,0.9938,1.5,0.57,white
8,0.23,12.1,0.028,0.9922,7.1,0.47,white
7,0.2,12.2,0.027,0.992,6.2,0.49,white
5,0.28,9.8,0.042,0.9935,2.5,0.6,white
8,0.16,12.4,0.035,0.9906,1.4,0.64,white
7,0.155,9.9,0.045,0.9934,2.3,0.61,white
5,0.35,9.2,0.06,0.9934,1.2,0.54,white
7,0.22,11.6,0.028,0.9913,1.6,0.59,white
6,0.38,10.4,0.033,0.9938,6.6,0.69,white
8,0.25,12.9,0.026,0.9898,2.2,0.65,white
6,0.52,9.3,0.048,0.9975,12.2,0.54,white
6,0.24,11,0.031,0.9975,20.8,0.33,white
3,0.32,11.5,0.038,0.9937,11,0.4,white
5,0.28,12.4,0.054,0.9914,2.6,0.42,white
6,0.41,9.8,0.048,0.9982,14,0.53,white
6,0.41,9.8,0.048,0.9982,14,0.53,white
7,0.28,10.5,0.052,0.9929,1.6,0.56,white
5,0.6,9.1,0.07,0.9971,9.9,0.54,white
5,0.2,10.1,0.038,0.9921,1.2,0.44,white
7,0.46,10.6,0.042,0.9931,2.7,0.51,white
7,0.27,10.5,0.046,0.9924,1.6,0.51,white
7,0.28,10.5,0.052,0.9929,1.6,0.56,white
6,0.41,9.8,0.048,0.9982,14,0.53,white
7,0.23,12.9,0.022,0.9892,1.5,0.4,white
5,0.21,9.5,0.056,0.9956,8.6,0.52,white
6,0.37,9.8,0.053,0.9924,1,0.72,white
5,0.43,8.5,0.059,0.9971,9.1,0.5,white
5,0.21,9.5,0.056,0.9956,8.6,0.52,white
5,0.25,9.3,0.047,0.9982,15.2,0.45,white
5,0.25,9.5,0.047,0.9973,12.4,0.38,white
6,0.32,9.4,0.044,0.9932,2.2,0.39,white
5,0.39,8.7,0.047,0.9976,11,0.5,white
5,0.21,8.9,0.081,0.9962,10,0.46,white
6,0.14,9.4,0.039,0.9956,9,0.43,white
6,0.32,9.4,0.044,0.9932,2.2,0.39,white
5,0.39,8.7,0.047,0.9976,11,0.5,white
5,0.29,9.6,0.047,0.9992,18.15,0.52,white
6,0.37,9.3,0.039,0.9983,12.15,0.73,white
5,0.38,10,0.036,0.9937,3.4,0.76,white
6,0.24,12.5,0.023,0.99,2,0.45,white
7,0.17,9.6,0.034,0.9944,4.8,0.48,white
6,0.16,9.4,0.03,0.9938,4.5,0.36,white
5,0.24,9.5,0.029,0.9965,11,0.61,white
7,0.28,12.4,0.028,0.9893,1.1,0.39,white
6,0.22,10.5,0.037,0.9927,1.5,0.55,white
6,0.55,9.2,0.073,0.994,1.7,0.58,white
6,0.22,10.4,0.041,0.9928,1.7,0.56,white
5,0.47,9.2,0.043,0.9964,8.9,0.6,white
6,0.36,10.6,0.047,0.9917,1.3,0.51,white
5,0.25,9.5,0.044,0.9972,13.3,0.42,white
5,0.47,9.2,0.043,0.9964,8.9,0.6,white
5,0.37,9.6,0.346,0.9954,6.6,0.58,white
6,0.18,9.7,0.028,0.993,1.5,0.54,white
6,0.16,9.7,0.025,0.9928,1.5,0.51,white
6,0.34,10.7,0.035,0.9916,1.3,0.42,white
6,0.29,10.5,0.045,0.9936,1.6,0.68,white
6,0.26,8.9,0.047,0.9962,7.6,0.45,white
6,0.28,12.1,0.035,0.9899,1,0.46,white
